datum,ido,osszes,kesik_db,atlag_perc,max_perc,zold_db,sarga_db,narancs_db,piros_db,legtobbet_keso,legtobbet_perc,tr_osszes,tr_kesik_db,tr_kesik_pct,tr_atlag_perc,tr_max_perc,tr_legtobbet_keso,tr_legtobbet_perc
2026-08-03,13:38,534,314,4,35,454,60,13,0,16707 ARANYPART Expresszvonat,35,,,,,,,
2026-08-04,09:48,535,306,5,76,451,65,10,1,463 KÁLMÁN IMRE EuroNight,76,,,,,,,
2026-08-05,09:49,522,298,5,80,445,55,13,2,987 SCARBANTIA InterCity,80,,,,,,,
2026-08-06,09:49,529,299,5,62,450,57,15,1,8027 személyvonat,62,,,,,,,
2026-08-07,07:00,609,308,3,52,568,29,4,0,919 BAKONY InterCity,52,,,,,,,
2026-08-08,01:48,32,8,31,96,27,1,1,2,8 RUTHENIA gyorsvonat,96,,,,,,,
2026-08-09,01:02,66,27,13,130,55,6,4,1,9 TRANSCARPATHIA gyorsvonat,130,,,,,,,
2026-08-10,01:04,47,20,33,395,37,4,4,2,H3083 HÉV,395,,,,,,,
2026-08-11,01:53,34,14,39,160,25,2,4,3,H4131 HÉV,160,,,,,,,
2026-08-12,02:07,30,1,8,8,29,1,0,0,18610 BAGOLYVONAT személyvonat passenger train,8,12,1,8,8,8,18610 BAGOLYVONAT személyvonat passenger train,8
2026-08-13,02:07,30,0,0,0,30,0,0,0,,0,13,0,0,0,0,,0
2026-08-14,02:07,31,1,27,27,30,0,1,0,7 RUTHENIA gyorsvonat fast train,27,16,1,6,27,27,7 RUTHENIA gyorsvonat fast train,27
2026-08-15,00:53,60,9,29,64,49,5,3,1,9 TRANSCARPATHIA gyorsvonat fast train,64,37,9,24,29,64,9 TRANSCARPATHIA gyorsvonat fast train,64
2026-08-16,00:49,60,8,84,406,52,4,2,2,H3033 HÉV HÉV,406,36,6,17,36,153,347 DACIA EuroCity EuroCity,153
2026-08-17,00:44,42,12,65,556,30,6,5,1,H3177 HÉV HÉV,556,32,10,31,20,44,8 RUTHENIA gyorsvonat fast train,44
2026-08-18,00:53,39,9,24,63,30,5,3,1,1,63,31,8,26,20,34,9068 személyvonat passenger train,34
